xtf_id,Date,Power,Inclination,Orientation,PlantCategory,ElectricityProductionPlantR
detail_565,2013-03-21,10.12,,,,25827
detail_566,2015-08-21,8.6,,,,46369
detail_567,2017-11-15,3.28,,,,25917
detail_568,2017-10-31,1.3,,,,25938
detail_569,2017-07-28,148.68,,,,14936
detail_570,2019-09-05,23.33,,,,15578
detail_571,2015-03-24,20.8,,,,14940
detail_572,2010-09-10,29.05,,,,14940
detail_573,2017-10-16,1.3,,,,26055
detail_574,2016-11-19,3.6,,,,26136
detail_575,2015-09-03,4.8,,,,26126
detail_576,2015-04-24,6.6,,,,19755
detail_577,2018-10-10,18.09,,,,26070
detail_578,2019-12-07,35.84,,,,26077
detail_579,2020-06-02,42.88,,,,14964
detail_580,2016-03-29,132.3,,,,26117
detail_581,2013-06-15,42.4,,,,26117
detail_582,2017-05-15,50.44,,,,14975
detail_583,2016-09-19,99.36,,,,14977
detail_584,2012-11-29,14.99,,,,14977
detail_585,2020-04-29,2.85,,,,14979
detail_586,2021-08-30,1.8,,,,14997
detail_587,2020-10-07,0.03,,,,15092
detail_588,2020-10-07,15.1,,,,15092
detail_589,2016-05-23,17.1,,,,15119
detail_590,2015-09-29,140.46,,,,15119
detail_591,2017-09-30,23.37,,,,15119
detail_592,2014-11-18,110.24,,,,15125
detail_593,2012-09-26,37.49,,,,15125
detail_594,2015-09-15,1.75,,,,15135
detail_595,2021-03-22,6.03,,,,15138
detail_596,2014-09-01,60.48,,,,15167
detail_597,2016-07-20,3.6,,,,15170
detail_598,2022-07-01,1.75,,,,15180
detail_599,2016-06-15,3.68,,,,15226
detail_600,2020-03-31,6.3,,,,15271
detail_601,2014-04-01,2.25,,,,16393
detail_602,2014-11-26,56,,,,15302
detail_603,2015-11-20,1.47,,,,15307
detail_604,2012-09-20,34.7,,,,15332
detail_605,2015-09-25,3.12,,,,15334
detail_606,2014-12-19,4.7,,,,15334
detail_607,2017-02-20,4.06,,,,15343
detail_608,2021-04-01,10.55,,,,15351
detail_609,2012-05-03,392.37,,,,15352
detail_610,2014-11-03,585.63,,,,15359
detail_611,2017-05-31,1.36,,,,15527
detail_612,2017-05-31,6.48,,,,15527
detail_613,2016-09-13,5.04,,,,15373
detail_614,2017-11-29,0.83,,,,15382
detail_615,2019-10-15,7.44,,,,16424
detail_616,2016-08-29,192.39,,,,16410
detail_617,2015-09-01,17.23,,,,16364
detail_618,2015-09-17,64.48,,,,16544
detail_619,2012-09-28,102.06,,,,16547
detail_620,2016-09-23,10.33,,,,16505
detail_621,2015-06-09,50.33,,,,16324
detail_622,2012-11-23,39.04,,,,50038
detail_623,2014-12-16,50,,,,16112
detail_624,2017-12-22,1.26,,,,16165
